feature,importance
xmv_3_diff1,0.05619417602496448
xmeas_1_diff1,0.03576630099542682
xmeas_22_diff1,0.030907486689446078
xmeas_16_diff1,0.030658471618077648
xmeas_29_diff1,0.029576954443301266
xmeas_5_std5,0.028630505270284472
xmeas_4_diff1,0.026576133359377523
xmeas_21,0.025623410047390733
xmv_3_std5,0.025293690854955746
xmeas_21_diff1,0.02511949880975126
xmv_3_std10,0.02484983678644087
xmeas_7_diff1,0.02418077887139852
xmeas_10_std5,0.023625244638625857
xmeas_10_std10,0.023273460511665057
xmeas_13_diff1,0.022337016189656386
xmeas_11_diff1,0.02186212687495079
xmv_2_diff1,0.021815349222049696
xmv_9_diff1,0.019798850104925617
xmeas_20_diff1,0.019598924196777112
xmv_5_diff1,0.01810329755132003
xmeas_19_diff1,0.017668791351675577
xmeas_3_diff1,0.017010571420363507
xmv_5_scaled,0.015349452424120131
xmeas_5_std10,0.015215595016544197
xmeas_1_std5,0.015207898215390064
xmv_11_std5,0.014135520485126302
xmv_4_std5,0.013764980358507565
xmeas_18_diff1,0.01367984361953872
xmeas_23_std5,0.013566194467651973
xmv_5,0.013269932157454036
xmeas_14_diff1,0.012951809290347335
xmv_6_std5,0.012164416349347328
xmeas_23_std10,0.012114614357569822
xmeas_34_std10,0.011740074542384757
xmv_7_diff1,0.011258863892271391
xmeas_21_std5,0.010523646775036795
xmeas_16_std5,0.01036542120321255
xmeas_25_std10,0.009858398193680982
xmeas_1_std10,0.009605238128021122
xmeas_19_std5,0.009553010177829299
xmeas_20_std5,0.009479228376266711
xmeas_28_std10,0.00928764943728634
xmeas_31_std10,0.009145713925109742
xmeas_21_std10,0.009128989449635043
xmeas_29_std10,0.00910890129571329
xmv_3_ma5,0.00855979294425182
xmeas_12_diff1,0.00774402984765923
xmv_9_std5,0.007107576407467992
xmeas_7_std5,0.007051386862997566
xmeas_19_std10,0.006877201063903345
xmv_8_std5,0.006109372909698005
xmeas_12_std5,0.006089330767940615
xmeas_16_std10,0.006082604235426721
xmeas_18_std10,0.005950427714265129
xmeas_5_diff1,0.005670629141917469
xmeas_13_std5,0.0052235803751054305
xmv_7_std5,0.005074631692976113
xmeas_39_std10,0.004881834878419203
xmeas_17_std5,0.004234004588404571
xmeas_18_std5,0.004192152943762311
xmeas_7_std10,0.0040906469473874305
xmv_10_std10,0.004040024405014383
xmv_7_std10,0.003966163582296076
xmeas_20_std10,0.003697831128790477
xmeas_13_std10,0.0036693536930583396
xmv_2_std5,0.0036043551522779447
xmeas_12_std10,0.0035588367146321674
xmeas_37_std10,0.003404975328989692
xmv_8_std10,0.003132507229898127
xmeas_11_std10,0.0030758583430167455
xmeas_15_std5,0.0029558301546927243
xmv_5_std10,0.0029089443753611546
xmeas_4_std10,0.0027789793908982122
xmeas_38_std10,0.002538848742136958
xmeas_2_std5,0.0024146362933945586
xmeas_6_std5,0.002370416068754206
xmeas_3_std5,0.0022464136465893537
xmeas_14_std5,0.002228463816675618
xmeas_40_std10,0.0021777299200674877
xmeas_15_std10,0.0021453540413494585
xmeas_8_std5,0.002140488175544185
xmeas_17_std10,0.002112219218865294
xmeas_22_std10,0.0018846756152503903
xmeas_2_std10,0.0016098581186263527
xmeas_26_std5,0.0014517655513666282
